Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
6.22400;0.07474;784.80951;0.02830
6.23400;0.07486;786.27411;0.02890
6.24400;0.07498;787.49582;0.02934
6.25400;0.07510;788.63110;0.02902
6.26400;0.07522;789.66785;0.02890
6.27400;0.07533;790.84188;0.02937
6.28400;0.07545;791.70279;0.02912
6.29400;0.07557;792.56557;0.02918
6.30400;0.07569;793.41773;0.02942
6.31400;0.07581;794.47078;0.02931
6.32400;0.07599;795.94674;0.02906
6.33400;0.07611;797.26567;0.02897
6.34400;0.07623;798.45311;0.02843
6.35400;0.07635;799.66234;0.02820
6.36400;0.07647;800.75553;0.02832
6.37400;0.07659;801.81956;0.02871
6.38400;0.07671;803.23620;0.02889
6.39400;0.07683;804.73423;0.02947
6.40400;0.07695;806.12274;0.02984
6.41400;0.07707;807.18081;0.03022
6.42400;0.07719;807.93463;0.03004
6.43400;0.07731;808.63312;0.03020
6.44400;0.07743;809.49692;0.03050
6.45400;0.07755;810.48636;0.03044
6.46400;0.07767;811.59202;0.03066
6.47400;0.07779;812.77816;0.03043
6.48400;0.07791;813.98068;0.03037
6.49400;0.07803;815.26628;0.03074
6.50400;0.07814;816.62070;0.03100
6.51400;0.07826;817.65102;0.03098
6.52400;0.07838;818.78342;0.03111
6.53400;0.07850;819.99609;0.03111
6.54400;0.07862;821.11508;0.03111
6.55400;0.07874;822.10973;0.03157
6.56400;0.07886;823.04580;0.03181
6.57400;0.07898;823.94304;0.03126
6.58400;0.07910;824.87278;0.03100
6.59400;0.07922;825.72689;0.03086
6.60400;0.07934;826.86236;0.03072
6.61400;0.07946;828.07224;0.03094
6.62400;0.07952;829.41912;0.03119
6.63400;0.07964;830.58355;0.03113
6.64400;0.07976;831.54710;0.03131
6.65400;0.07988;832.42422;0.03159
6.66400;0.08000;833.43564;0.03196
6.67400;0.08012;834.45227;0.03207
6.68400;0.08024;835.52198;0.03235
6.69400;0.08030;836.61303;0.03262
6.70400;0.08042;837.61495;0.03288
6.71400;0.08054;838.52299;0.03271
6.72400;0.08066;839.78800;0.03236
6.73400;0.08078;841.05078;0.03183
6.74400;0.08090;842.39719;0.03167
